Length	Contamination
7332	7332
5114	5114
5100	5100
4742	4742
4638	4638
4387	4387
3791	3791
3580	3580
3388	3388
3364	3364
3304	3304
3134	3134
2995	2995
2949	2949
2960	2960
2910	2910
2614	2614
2606	2606
2588	2588
2555	2555
2520	2520
2431	2431
2265	2265
2097	2097
2085	2085
2041	2041
1900	1900
1831	1831
1803	1803
1754	1754
1706	1706
1672	1672
1623	1623
1535	1535
1522	1522
1487	1487
1423	1423
1347	1347
1317	1317
1309	1309
1300	1300
1217	1217
1212	1212
1151	1151
1136	1136
1092	1092
977	977
937	937
818	818
770	770
738	738
728	728
684	684
676	676
656	656
655	655
652	652
649	649
632	632
631	631
632	632
622	622
588	588
581	581
549	549
488	488
489	489
488	488
482	482
440	440
438	438
291	291
216	216
215	215
125	125
4769	4769
4472	4472
3893	3893
2660	2660
2656	2656
2645	2645
2357	2357
2245	2245
2197	2197
1937	1937
1936	1936
1925	1925
1820	1820
1802	1802
1751	1751
1711	1711
1688	1688
1634	1634
1632	1632
1610	1610
1606	1606
1606	1606
1569	1569
1562	1562
1542	1542
1523	1523
1465	1465
1464	1464
1464	1464
1447	1447
1440	1440
1400	1400
1364	1364
1353	1353
1353	1353
1322	1322
1321	1321
1315	1315
1311	1311
1297	1297
1289	1289
1288	1288
1283	1283
1274	1274
1251	1251
1248	1248
1243	1243
1235	1235
1233	1233
1194	1194
1194	1194
1194	1194
1180	1180
1171	1171
1170	1170
1168	1168
1166	1166
1156	1156
1149	1149
1147	1147
1145	1145
1141	1141
1116	1116
1109	1109
1101	1101
1092	1092
1089	1089
1081	1081
1080	1080
1062	1062
1059	1059
1059	1059
1052	1052
1047	1047
1035	1035
1033	1033
1032	1032
1031	1031
1028	1028
1027	1027
1024	1024
1021	1021
1015	1015
1012	1012
1012	1012
1005	1005
1005	1005
995	995
994	994
988	988
985	985
984	984
981	981
978	978
974	974
970	970
960	960
960	960
957	957
955	955
951	951
941	941
935	935
934	934
928	928
927	927
923	923
922	922
922	922
919	919
919	919
918	918
915	915
914	914
913	913
910	910
904	904
903	903
900	900
896	896
891	891
888	888
887	887
886	886
879	879
879	879
878	878
877	877
877	877
877	877
876	876
875	875
872	872
870	870
869	869
865	865
861	861
855	855
853	853
850	850
840	840
839	839
839	839
838	838
837	837
835	835
833	833
831	831
829	829
818	818
810	810
807	807
806	806
802	802
801	801
798	798
788	788
782	782
781	781
775	775
774	774
769	769
769	769
768	768
768	768
761	761
758	758
757	757
752	752
752	752
751	751
751	751
749	749
743	743
736	736
734	734
732	732
729	729
719	719
708	708
707	707
705	705
700	700
694	694
692	692
691	691
690	690
685	685
683	683
683	683
681	681
678	678
678	678
676	676
676	676
669	669
658	658
657	657
657	657
654	654
651	651
639	639
639	639
633	633
615	615
614	614
599	599
596	596
589	589
579	579
539	539
537	537
534	534
517	517
516	516
503	503
503	503
490	490
488	488
487	487
481	481
473	473
433	433
355	355
348	348
346	346
342	342
296	296
290	290
285	285
276	276
254	254
249	249
240	240
232	232
218	218
217	217
213	213
213	213
206	206
174	174
171	171
166	166
760	760
1831	1831
1243	1243
1196	1196
1812	1812
1285	1285
1035	1035
1026	1026
1447	1447
1446	1446
1028	1028
3559	3559
1529	1529
2359	2359
3273	3273
790	790
1368	1368
1192	1192
878	878
4411	4411
2393	2393
1479	1479
2173	2173
2190	2190
1607	1607
1061	1061
