div	top_tax_name	contamination
anml:amphibians	Carlito syrichta	1394
anml:amphibians	Geotrypetes seraphini	56944
anml:amphibians	Nanorana parkeri	49183
anml:amphibians	Rana temporaria	69512
anml:amphibians	Xenopus laevis	527587
anml:amphibians	Xenopus tropicalis	80740
anml:amphibians	n/a	63464
anml:basal metazoans	Cristatella mucedo	9609
anml:basal metazoans	Hydra vulgaris	473287
anml:basal metazoans	Membranipora membranacea	1390
anml:basal metazoans	Orbicella faveolata	3243
anml:basal metazoans	Styela clava	37096
anml:basal metazoans	Thelohanellus kitauei	1720
anml:basal metazoans	Xenia sp. Carnegie-2017	1157
anml:basal metazoans	n/a	3037
anml:birds	Acanthisitta chloris	2490
anml:birds	Antrostomus carolinensis	1008
anml:birds	Gallus gallus	83218
anml:birds	Manacus vitellinus	1034
anml:birds	Opisthocomus hoazin	697
anml:birds	Struthio camelus	1176
anml:birds	Taeniopygia guttata	236116
anml:birds	n/a	502
anml:crustaceans	Armadillidium nasatum	112050
anml:crustaceans	Daphnia magna	96249
anml:crustaceans	Eriocheir sinensis	49022
anml:crustaceans	Eurytemora affinis	3683
anml:crustaceans	Homarus americanus	44647
anml:crustaceans	Hyalella azteca	13930
anml:crustaceans	Lepeophtheirus salmonis	35692
anml:crustaceans	Penaeus japonicus	10695
anml:crustaceans	Penaeus monodon	15681
anml:crustaceans	Portunus trituberculatus	81489
anml:crustaceans	Procambarus clarkii	152151
anml:crustaceans	n/a	1915
anml:echinoderms	Chiridota heheva	3107
anml:echinoderms	Patiria miniata	8259
anml:echinoderms	Saccoglossus kowalevskii	3583
anml:echinoderms	n/a	1774
anml:fishes	Acipenser ruthenus	12080
anml:fishes	Alosa sapidissima	38360
anml:fishes	Amblyraja radiata	19698
anml:fishes	Anguilla anguilla	30474
anml:fishes	Astyanax mexicanus	128764
anml:fishes	Branchiostoma belcheri	603
anml:fishes	Branchiostoma floridae	12884
anml:fishes	Brienomyrus brachyistius	17478
anml:fishes	Callorhinchus milii	54370
anml:fishes	Carcharodon carcharias	1168295
anml:fishes	Chanos chanos	14203
anml:fishes	Danio rerio	280035
anml:fishes	Denticeps clupeoides	1950
anml:fishes	Electrophorus electricus	8696
anml:fishes	Erpetoichthys calabaricus	578080
anml:fishes	Esox lucius	18032
anml:fishes	Gadus morhua	5215
anml:fishes	Gambusia affinis	32382
anml:fishes	Gouania willdenowi	77645
anml:fishes	Hippocampus zosterae	3586
anml:fishes	Hypomesus transpacificus	23902
anml:fishes	Larimichthys crocea	17881
anml:fishes	Latimeria chalumnae	2622
anml:fishes	Lepisosteus oculatus	29007
anml:fishes	Myxocyprinus asiaticus	16430
anml:fishes	Oryzias latipes	11529
anml:fishes	Pangasianodon hypophthalmus	12164
anml:fishes	Periophthalmus magnuspinnatus	53986
anml:fishes	Petromyzon marinus	304577
anml:fishes	Rana temporaria	2715
anml:fishes	Salmo salar	520266
anml:fishes	Scleropages formosus	21312
anml:fishes	Takifugu rubripes	17787
anml:fishes	Thalassophryne amazonica	33712
anml:fishes	n/a	474645
anml:insects	Acyrthosiphon pisum	351
anml:insects	Aedes aegypti	28717
anml:insects	Aedes albopictus	18580
anml:insects	Aethina tumida	601
anml:insects	Agrilus planipennis	77431
anml:insects	Agrypnia vestita	995
anml:insects	Anopheles coluzzii	626
anml:insects	Anopheles darlingi	669
anml:insects	Anopheles maculipalpis	3700
anml:insects	Anoplophora glabripennis	633
anml:insects	Apis cerana	875
anml:insects	Bactrocera dorsalis	3227
anml:insects	Belonocnema kinseyi	3184
anml:insects	Bombyx mori	22676
anml:insects	Bradysia coprophila	531
anml:insects	Cataglyphis hispanica	12625
anml:insects	Centruroides sculpturatus	27807
anml:insects	Cephus cinctus	3572
anml:insects	Ceratina calcarata	1293
anml:insects	Ceratitis capitata	2140
anml:insects	Chrysoperla carnea	3155
anml:insects	Colias croceus	24539
anml:insects	Colletes gigas	11865
anml:insects	Copidosoma floridanum	54906
anml:insects	Cotesia glomerata	1626
anml:insects	Cryptotermes secundus	20642
anml:insects	Ctenocephalides felis	49900
anml:insects	Culex quinquefasciatus	110995
anml:insects	Cyphomyrmex costatus	2638
anml:insects	Daktulosphaira vitifoliae	3070
anml:insects	Danaus plexippus	586
anml:insects	Dermatophagoides farinae	3149
anml:insects	Dermatophagoides pteronyssinus	46595
anml:insects	Diabrotica virgifera	1211
anml:insects	Diachasma alloeum	2994
anml:insects	Dinoponera quadriceps	16139
anml:insects	Drosophila eugracilis	3287
anml:insects	Drosophila mojavensis	5535
anml:insects	Drosophila virilis	523
anml:insects	Drosophila willistoni	305
anml:insects	Ericerus pela	48308
anml:insects	Galleria mellonella	2534
anml:insects	Glossina fuscipes	1206
anml:insects	Habropoda laboriosa	3842
anml:insects	Harpegnathos saltator	25050
anml:insects	Hermetia illucens	3250
anml:insects	Hesperophylax magnus	20739
anml:insects	Ixodes scapularis	2367
anml:insects	Leguminivora glycinivorella	2352
anml:insects	Leptinotarsa decemlineata	6153
anml:insects	Leptopilina boulardi	976
anml:insects	Leptopilina heterotoma	5165
anml:insects	Limnephilus marmoratus	1901
anml:insects	Limulus polyphemus	23304
anml:insects	Lucilia sericata	3964
anml:insects	Megachile rotundata	2383
anml:insects	Melitaea cinxia	2509
anml:insects	Myzus persicae	20783
anml:insects	Neodiprion lecontei	15729
anml:insects	Nylanderia fulva	2375
anml:insects	Nymphalis io	252
anml:insects	Odontomachus brunneus	59726
anml:insects	Ooceraea biroi	240
anml:insects	Ostrinia furnacalis	264920
anml:insects	Parasteatoda tepidariorum	7057
anml:insects	Phenacoccus solenopsis	12749
anml:insects	Photinus pyralis	1482
anml:insects	Polistes dominula	25821
anml:insects	Pseudomyrmex gracilis	7516
anml:insects	Rhagoletis zephyria	5308
anml:insects	Rhipicephalus microplus	4715
anml:insects	Sitophilus oryzae	9253
anml:insects	Solenopsis invicta	6074
anml:insects	Stegodyphus dumicola	16791
anml:insects	Stenopsyche tienmushanensis	10944
anml:insects	Stomoxys calcitrans	2401
anml:insects	Teleogryllus occipitalis	1584
anml:insects	Teleopsis dalmanni	3946
anml:insects	Timema monikensis	4340
anml:insects	Trachymyrmex cornetzi	516
anml:insects	Vandiemenella viatica	6416
anml:insects	Vespa crabro	63277
anml:insects	Vollenhovia emeryi	1425
anml:insects	Zootermopsis nevadensis	634
anml:insects	n/a	68337
anml:mammals	Camelus bactrianus	45477
anml:mammals	Canis lupus	56372
anml:mammals	Ceratotherium simum	99514
anml:mammals	Choloepus didactylus	18318
anml:mammals	Condylura cristata	8755
anml:mammals	Dasypus novemcinctus	20024
anml:mammals	Echinops telfairi	52112
anml:mammals	Elephantulus edwardii	11270
anml:mammals	Elephas maximus	50442
anml:mammals	Equus caballus	75847
anml:mammals	Erinaceus europaeus	6130
anml:mammals	Felis catus	52332
anml:mammals	Miniopterus natalensis	29967
anml:mammals	Mustela putorius	43868
anml:mammals	Myotis myotis	60633
anml:mammals	Neogale vison	60576
anml:mammals	Ornithorhynchus anatinus	873
anml:mammals	Ovis aries	5552913
anml:mammals	Phyllostomus discolor	16605
anml:mammals	Rhinolophus ferrumequinum	42368
anml:mammals	Sorex araneus	6321
anml:mammals	Suncus etruscus	10033
anml:mammals	Suricata suricatta	18413
anml:mammals	Sus scrofa	434335
anml:mammals	Tachyglossus aculeatus	4922
anml:mammals	Tursiops truncatus	139565
anml:mammals	Zalophus californianus	41432
anml:mammals	n/a	133879
anml:marsupials	Dromiciops gliroides	507
anml:marsupials	Phascolarctos cinereus	710
anml:marsupials	Trichosurus vulpecula	506
anml:molluscs	Biomphalaria glabrata	125870
anml:molluscs	Chiridota heheva	1784
anml:molluscs	Crassostrea gigas	1095
anml:molluscs	Dreissena polymorpha	59199
anml:molluscs	Gigantopelta aegis	7351
anml:molluscs	Haliotis rubra	14025
anml:molluscs	Haliotis rufescens	13948
anml:molluscs	Mercenaria mercenaria	8780
anml:molluscs	Mizuhopecten yessoensis	9668
anml:molluscs	Mya arenaria	5789
anml:molluscs	Nautilus pompilius	42764
anml:molluscs	Octopus sinensis	209901
anml:molluscs	Patella vulgata	3543
anml:molluscs	Pecten maximus	27484
anml:molluscs	Pomacea canaliculata	11009
anml:molluscs	n/a	5697
anml:nematodes	Allodiplogaster sudhausi	1183
anml:nematodes	Aplectana chamaeleonis	1020
anml:nematodes	Ascaris suum	8376
