source	target	nlink		
Eukaryota	Eurotatoria	0.26		
Eukaryota	Hyperoartia	0.30		
Eukaryota	Aves	0.33		
Eukaryota	Lepidosauria	0.35		
Eukaryota	Hydrozoa	0.47		
Eukaryota	Malacostraca	0.48		
Eukaryota	Cladistia	0.58		
Eukaryota	Amphibia	0.92		
Eukaryota	Insecta	1.15		
Eukaryota	Chondrichthyes	1.24		
Eukaryota	Actinopteri	1.43		
Eukaryota	Mammalia	20.15		
Hyperoartia	Petromyzon_marinus	0.30		
Mammalia	Sus_scrofa	0.43		
Hydrozoa	Hydra_vulgaris	0.47		
Actinopteri	Salmo_salar	0.52		
Amphibia	Xenopus_laevis	0.53		
Cladistia	Erpetoichthys_calabaricus	0.58		
Mammalia	Oryctolagus_cuniculus	0.88		
Chondrichthyes	Carcharodon_carcharias	1.17		
Mammalia	Homo_sapiens	2.77		
Mammalia	Fukomys_damarensis	3.95		
Mammalia	Mus_musculus	4.20		
Mammalia	Ovis_aries	5.55		
