AssemblyLVL 	Raw	Contamination
Scaffold	32,793,462	15,061
Scaffold	32,766,339	323,413
Scaffold	37,145,397	0
Scaffold	58,248,003	0
Scaffold	28,467,480	56,668
Chromosome	26,071,887	0
Chromosome	40,949,321	0
Complete Genome	10,689,112	0
Chromosome	20,501,810	0
Chromosome	12,317,945	0
Chromosome	28,809,958	0
Scaffold	27,850,641	15,717
Complete Genome	32,855,082	0
Complete Genome	23,332,839	0
Chromosome	31,986,892	2,421
Scaffold	33,930,422	516
Chromosome	12,590,849	0
Scaffold	35,558,430	1,188
Chromosome	8,357,924	0
Scaffold	22,168,071	0
Scaffold	66,270,669	0
Scaffold	12,079,919	0
Scaffold	74,393,771	0
Scaffold	36,295,096	2,129
Scaffold	36,789,531	11,635
Scaffold	14,575,599	0
Chromosome	24,384,598	16,886
Scaffold	8,914,723	0
Chromosome	12,151,761	0
Complete Genome	14,618,422	0
Chromosome	19,050,125	0
Chromosome	2,496,714	0
Scaffold	190,133,476	510,519
Scaffold	42,791,458	0
Scaffold	34,336,862	0
Complete Genome	42,630,066	0
Scaffold	170,093,638	501,376
Scaffold	40,978,414	0
Complete Genome	12,071,326	0
Chromosome	2,216,798	0
Scaffold	154,057,934	282,596
Scaffold	50,906,596	0
Scaffold	30,101,741	0
Scaffold	45,324,238	0
Scaffold	29,015,619	0
Scaffold	10,574,537	0
Chromosome	41,794,269	0
Scaffold	29,230,766	0
Scaffold	31,368,615	0
Scaffold	15,460,620	0
Scaffold	54,424,536	46,075
Scaffold	79,327,257	0
Scaffold	11,135,996	0
Scaffold	23,577,733	0
Scaffold	81,600,488	542
Chromosome	60,011,252	0
Scaffold	28,836,656	0
Scaffold	11,262,981	0
Scaffold	32,625,232	0
Scaffold	80,778,247	34,323
Scaffold	23,137,485	0
Scaffold	52,624,944	1,350
Scaffold	51,230,360	0
Scaffold	22,127,963	0
Scaffold	22,505,389	0
Scaffold	106,563,903	450,557
Scaffold	48,176,889	0
Scaffold	369,022,049	765,634
Scaffold	75,258,781	2,623,097
Chromosome	9,087,655	0
Chromosome	8,347,606	0
Chromosome	8,228,827	0
Contig	29,842,250	133,674
Scaffold	33,348,438	0
Scaffold	27,427,344	0
Contig	41,285,888	65,021
Scaffold	39,022,652	0
Contig	53,012,960	175,482
Scaffold	70,263,251	1,501,390
Contig	82,095,019	7,263
Chromosome	154,957,827	0
Scaffold	25,992,171	3,642,442
Scaffold	81,507,962	25,745
Scaffold	865,581,001	1,938,419
Contig	8,958,094	3,120
Chromosome	58,591,653	0
Scaffold	23,906,001	0
Contig	13,030,174	0
Scaffold	38,253,120	236,762
Contig	36,192,556	0
Chromosome	41,061,603	0
Chromosome	14,276,300	0
Contig	7,860,219	616
Scaffold	28,356,058	107,322
Chromosome	37,117,683	0
Chromosome	18,361,682	0
Scaffold	76,497,192	33,866
Chromosome	297,011,616	0
Scaffold	6,033,822	0
Scaffold	34,673,006	0
Scaffold	97,682,699	4,385
Chromosome	57,524,119	0
Scaffold	20,771,095	42,905
Scaffold	89,612,356	240,605
Scaffold	30,503,664	34,500
Scaffold	3,859,221	237,114
Scaffold	38,490,826	500
Chromosome	39,678,910	0
Scaffold	74,356,772	82,517
Scaffold	13,637,874	65,853
Contig	46,723,002	4,518,059
Complete Genome	38,744,216	0
Contig	32,203,817	1,588
Contig	34,250,760	0
Chromosome	31,252,135	0
Contig	24,779,298	236,078
Scaffold	18,802,389	279,546
Chromosome	18,138,966	2,378
Scaffold	50,748,798	0
Scaffold	26,372,207	0
Scaffold	3,148,732	0
Contig	73,085,728	0
Chromosome	32,074,503	15,478
Scaffold	547,104,041	216,371
Chromosome	391,379,333	0
Scaffold	53,871,265	0
Scaffold	4,649,639	0
Scaffold	4,029,056	0
Scaffold	67,460,985	5,331,338
Scaffold	27,987,508	0
Chromosome	2,251,784	0
Chromosome	2,187,595	0
Scaffold	40,460,948	0
Scaffold	24,303,834	0
Scaffold	262,590,036	92,910
Contig	48,882,833	104,649
Scaffold	13,271,357	53,169
Scaffold	39,443,455	0
Scaffold	7,706,555	48,017
Chromosome	19,641,656	0
Scaffold	40,496,007	13,483
Contig	6,254,841	25,046
Chromosome	41,296,350	0
Scaffold	278,837,140	0
Chromosome	32,004,424	1,259
Contig	8,179,979	33,443
Scaffold	30,965,649	0
Scaffold	62,073,019	19,665
Chromosome	11,674,479	0
Scaffold	30,901,871	0
Scaffold	48,808,043	1,135
Scaffold	28,719,617	0
Scaffold	14,356,492	357,519
Scaffold	13,851,317	40,272
Scaffold	42,676,619	272
Scaffold	34,264,281	0
Scaffold	41,664,801	1,519
Scaffold	42,804,114	2,570
Scaffold	33,582,665	82
Complete Genome	36,150,287	0
Scaffold	34,134,616	0
Scaffold	303,727,273	1,070,569
Chromosome	30,528,139	0
Chromosome	30,769,451	0
Scaffold	31,323,065	0
Scaffold	32,504,266	0
Chromosome	30,426,963	0
Contig	4,979,932	0
Scaffold	29,003,854	0
Scaffold	129,782,361	0
Scaffold	30,871,804	0
Scaffold	299,070,827	114,173
Scaffold	30,818,428	0
Chromosome	30,987,001	1,993
Scaffold	8,513,856	95,199
Chromosome	277,739,597	0
Scaffold	112,135,503	428,363
Chromosome	162,456,563	0
Contig	15,111,138	4,605
Chromosome	14,413,411	0
Scaffold	54,911,932	0
Scaffold	93,266,462	6,461
Scaffold	45,677,409	5,458
Scaffold	55,968,490	2,434
Scaffold	45,874,462	2,454
Scaffold	1,478,571	1,480,825
Scaffold	65,020,649	5,406
Scaffold	66,895,571	3,736
Scaffold	84,806,581	4,345,952
Scaffold	25,191,614	0
Scaffold	22,592,271	0
Scaffold	23,858,104	0
Scaffold	24,346,955	0
Scaffold	58,572,258	8,787
Scaffold	41,452,125	0
Scaffold	26,201,470	0
Contig	611,995,108	1,499,757
Scaffold	39,333,014	0
Scaffold	110,110,664	0
Scaffold	75,481,916	1,937,554
Scaffold	300,901,610	529
Scaffold	20,791,447	1,438
Chromosome	6,466,626	0
Scaffold	600,352,029	2,091,918
Scaffold	34,342,639	0
Scaffold	71,810,753	560
Scaffold	69,235,183	10,744
Scaffold	40,982,715	0
Scaffold	67,348,207	259,654
Contig	13,840,936	27,269
Scaffold	30,977,301	0
Scaffold	23,917,262	0
Scaffold	103,634,401	343,779
Scaffold	122,423,763	6,722
Scaffold	43,202,131	0
Scaffold	36,268,535	0
Contig	96,405,388	2,705
Complete Genome	9,006,764	0
Scaffold	94,894,093	171,228
Chromosome	84,059,253	0
Scaffold	79,710,583	954,441
Scaffold	78,888,856	2,696,381
Scaffold	89,456,487	3,156,381
Contig	5,635,072	100,276
Scaffold	43,961,175	239,384
Scaffold	62,907,066	95,277
Scaffold	351,605,877	0
Contig	2,290,528	0
Scaffold	298,641,369	391,063
Scaffold	38,325,361	0
Scaffold	156,893,894	195,017
Scaffold	322,827,410	8,992
Contig	33,205,449	0
Scaffold	1,182,328,283	522,812
Scaffold	83,219,492	253,728
Scaffold	55,280,243	257,747
Scaffold	65,839,791	252,419
Scaffold	75,199,922	51,894
Scaffold	103,249,818	16,295,218
Scaffold	75,191,921	55,474
Scaffold	99,062,859	106,086
Scaffold	83,321,312	96,961
Scaffold	106,512,939	5,318,730
Scaffold	114,322,241	121,385
Contig	9,509,783	0
Scaffold	34,632,884	0
Scaffold	36,639,109	0
Scaffold	42,968,387	0
Scaffold	37,920,466	0
Scaffold	32,433,268	0
Scaffold	32,873,413	0
Scaffold	29,256,826	0
Scaffold	31,348,514	0
Contig	38,321,349	1,478,352
Contig	60,381,969	5,874
Contig	98,599,102	53,605
Contig	42,219,646	3,347,041
Contig	47,120,089	812
Scaffold	1,183,504,361	742,825
Contig	42,661,029	22,420
Scaffold	91,277,801	4,710,931
Contig	424,790,813	542,868
Contig	1,130,704,756	1,132,832
Scaffold	22,936,786	0
Contig	32,374,918	0
Scaffold	15,417,329	3,977,164
Scaffold	11,714,180	125,682
Chromosome	98,298,214	0
Scaffold	90,087,259	1,285
Scaffold	310,835,023	7,708
Contig	52,138,309	20,713
Contig	66,713,539	77,511
Scaffold	267,654,222	807,553
Scaffold	95,347,607	78,971
Contig	84,878,920	45,559
Scaffold	71,768,977	34,792
Contig	1,040,124,789	0
Scaffold	71,015,930	0
Scaffold	82,472,903	1,139
Scaffold	30,266,237	5,506
Scaffold	27,601,262	11,976
Scaffold	25,568,647	3,568,463
Scaffold	27,676,032	5,874,600
Scaffold	34,644,497	8,907,059
Scaffold	30,395,187	8,538,254
Contig	5,248,409	1,635
Contig	24,807,186	0
Contig	30,774,200	0
Scaffold	48,705,307	13,247
Scaffold	50,567,997	50,715
Scaffold	45,658,109	10,584
