sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV180_SENGELI_1540_Wet2014	A. palestinensis	1085	0.9208121045	Raw	TP	INDIV180
INDIV234_ENDAMANGA_SCHOOL_1733_Dry2014	A. palestinensis	1537	0.9447750001	Raw	TP	INDIV234
INDIV438_GIDERU_2625_Dry2014	A. palestinensis	1686	0.928910432	Raw	TP	INDIV438
INDIV244_MWAMUDU_1743_Dry2014	A. alternata	3462	0.9878190715	Raw	TP	INDIV244
INDIV280_HUKAMAKO_2343_Dry2014	A. alternata	2179	0.9925086821	Raw	TP	INDIV280
INDIV244_MWAMUDU_1743_Dry2014	A. alternata	3456	0.9880414809	Decontaminated	TP	INDIV244
INDIV280_HUKAMAKO_2343_Dry2014	A. alternata	2177	0.9926978847	Decontaminated	TP	INDIV280
INDIV157_HUKAMAKO_1634_Wet2014	A. simplex	1435	0.0923474906	Raw	FP	INDIV157
INDIV259_MSAFIRI_1819_Dry2014	A. oryzae	17458	0.9612386953	Raw	TP	INDIV259
INDIV262_MSAFIRI_1822_Dry2014	A. oryzae	5971	0.980981936	Raw	TP	INDIV262
INDIV257_MSAFIRI_1831_Dry2014	A. oryzae	5076	0.9811857141	Raw	TP	INDIV257
INDIV253_MSAFIRI_1813_Dry2014	A. oryzae	5582	0.9808682119	Raw	TP	INDIV253
INDIV259_MSAFIRI_1819_Dry2014	A. flavus	17061	0.9679907265	Decontaminated	TP	INDIV259
INDIV262_MSAFIRI_1822_Dry2014	A. flavus	5817	0.9864306887	Decontaminated	TP	INDIV262
INDIV257_MSAFIRI_1831_Dry2014	A. oryzae	4934	0.9870626431	Decontaminated	TP	INDIV257
INDIV253_MSAFIRI_1813_Dry2014	A. oryzae	5436	0.9865031982	Decontaminated	TP	INDIV253
INDIV263_MSAFIRI_1823_Dry2014	B. bigemina	1066	0.2184764086	Raw	FP	INDIV263
INDIV253_MSAFIRI_1813_Dry2014	B. bigemina	1412	0.1977049297	Raw	FP	INDIV253
INDIV183_SENGELI_1510_Wet2014	B. ailuri	7184	0.4992778552	Raw	FP	INDIV183
INDIV88_SENGELI_1511_Wet2014	B. ailuri	7233	0.4773804912	Raw	FP	INDIV88
INDIV87_SENGELI_1505_Wet2014	B. ailuri	7831	0.4776882608	Raw	FP	INDIV87
INDIV182_SENGELI_1508_Wet2014	B. ailuri	11267	0.4550115195	Raw	FP	INDIV182
INDIV58_SENGELI_1509_Wet2014	B. ailuri	7459	0.4562312702	Raw	FP	INDIV58
INDIV185_SENGELI_1518_Wet2014	B. ailuri	21628	0.442456366	Raw	FP	INDIV185
INDIV89_SENGELI_1520_Wet2014	B. ailuri	8954	0.4614571329	Raw	FP	INDIV89
INDIV189_HUKAMAKO_1529_Wet2014	B. ailuri	48871	0.4665284746	Raw	FP	INDIV189
INDIV88_SENGELI_1537_Wet2014	B. ailuri	7943	0.4639130594	Raw	FP	INDIV88
INDIV190_SENGELI_1550_Wet2014	B. ailuri	2967	0.4671347032	Raw	FP	INDIV190
INDIV182_SENGELI_1542_Wet2014	B. ailuri	8413	0.431702732	Raw	FP	INDIV182
INDIV188_SENGELI_1545_Wet2014	B. ailuri	25433	0.4880436863	Raw	FP	INDIV188
INDIV80_SENGELI_1547_Wet2014	B. ailuri	5993	0.3989991555	Raw	FP	INDIV80
INDIV197_HUKAMAKO_1563_Wet2014	B. ailuri	7701	0.4038046086	Raw	FP	INDIV197
INDIV63_SENGELI_1553_Wet2014	B. ailuri	10576	0.4300877391	Raw	FP	INDIV63
INDIV62_SENGELI_1554_Wet2014	B. ailuri	4352	0.4331477842	Raw	FP	INDIV62
INDIV185_SENGELI_1556_Wet2014	B. ailuri	13474	0.4231354212	Raw	FP	INDIV185
INDIV89_SENGELI_1557_Wet2014	B. ailuri	14874	0.4295139552	Raw	FP	INDIV89
