Dataset	sampleId	taxNameSpecies_old	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated
Iceman	Iceman	Acanthamoeba_palestinensis	A. palestinensis	2059	0.8952158811	Raw	NA
Dogs	Solarolo	Acanthamoeba_palestinensis	A. palestinensis	3304	0.8333469662	Raw	NA
Iceman	Iceman_Muscle_tissue_Muscle_1_and_2	Acanthamoeba_palestinensis	A. palestinensis	1594	0.9469363414	Raw	TP
Human	BRS4	Alternaria_alternata	A. alternata	1081	0.9856709562	Decontaminated	TP
Human	BRS4	Alternaria_alternata	A. alternata	1096	0.9816788767	Raw	TP
Human	Zape3	Alternaria_alternata	A. alternata	1975	0.989325759	Decontaminated	TP
Human	Zape3	Alternaria_alternata	A. alternata	1976	0.989115086	Raw	TP
Human	Zape_29	Ancylostoma_caninum	A. caninum	5200	0.9957721974	Raw	TP
Human	Zape_29	Ancylostoma_caninum	A. caninum	5201	0.9957225616	Decontaminated	TP
Dogs	Zape2	Ancylostoma_caninum	A. caninum	14436	0.9925556148	Raw	TP
Dogs	Zape2	Ancylostoma_caninum	A. caninum	14442	0.9924962455	Decontaminated	TP
Iceman	Iceman	Anisakis_simplex	A. simplex	3396	0.1877539859	Raw	FP
Iceman	Iceman_Large_intestine_lower_part_225	Anisakis_simplex	A. simplex	1772	0.1630147471	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_I_1036	Anisakis_simplex	A. simplex	2664	0.1610061159	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_II_1036	Anisakis_simplex	A. simplex	2811	0.1637607384	Raw	FP
Iceman	Iceman_Muscle_tissue_Muscle_1_and_2	Anisakis_simplex	A. simplex	2751	0.1732915659	Raw	FP
Iceman	Iceman_Small_intestine_1063	Anisakis_simplex	A. simplex	2457	0.1513132182	Raw	FP
Iceman	Iceman_Stomach_antrum_content_1051	Anisakis_simplex	A. simplex	2644	0.151254167	Raw	FP
Iceman	Iceman_Stomach_antrum_surface_1051	Anisakis_simplex	A. simplex	2909	0.1503051679	Raw	FP
Iceman	Iceman_Stomach_corpus_content_I_1054	Anisakis_simplex	A. simplex	2795	0.1551953087	Raw	FP
Iceman	Iceman_Stomach_corpus_content_II_1054	Anisakis_simplex	A. simplex	2804	0.1545424893	Raw	FP
Iceman	Iceman_Stomach_corpus_surface_1054	Anisakis_simplex	A. simplex	2498	0.151828637	Raw	FP
Human	RGA001	Ascaris_lumbricoides	A. lumbricoides	1410	0.9587011363	Decontaminated	TP
Human	RGA001	Ascaris_lumbricoides	A. lumbricoides	1410	0.9587011363	Raw	TP
Hallstatt	HS2604	Ascaris_suum	A. suum	34303	0.9335285118	Raw	TP
Hallstatt	HS2604	Ascaris_suum	A. suum	34317	0.9334756825	Decontaminated	TP
Hallstatt	HS2612	Ascaris_suum	A. suum	5978	0.952078928	Decontaminated	TP
Hallstatt	HS2612	Ascaris_suum	A. suum	5978	0.952078928	Raw	TP
Human	MAM001	Ascaris_suum	A. suum	43688	0.978423188	Raw	TP
Human	MAM001	Ascaris_suum	A. suum	43706	0.9783909546	Decontaminated	TP
Dogs	cop_JBG29	Aspergillus_campestris	A. campestris	1019	0.9858325212	Raw	TP
Dogs	cop_JBG29	Aspergillus_campestris	A. campestris	1034	0.9809196305	Decontaminated	TP
Dogs	YRK001	Aspergillus_campestris	A. campestris	7347	0.9596711471	Raw	TP
Dogs	YRK001	Aspergillus_campestris	A. campestris	7406	0.9573177356	Decontaminated	TP
Human	BRS2	Aspergillus_cristatus	A. cristatus	5361	0.6909672408	Decontaminated	FP
Human	BRS2	Aspergillus_cristatus	A. cristatus	7162	0.6335535737	Raw	FP
Human	BRS3	Aspergillus_cristatus	A. cristatus	2586	0.6386976129	Decontaminated	FP
Human	BRS3	Aspergillus_cristatus	A. cristatus	3495	0.6012183712	Raw	FP
Human	BRS4	Aspergillus_cristatus	A. cristatus	7556	0.6943989302	Decontaminated	FP
Human	BRS4	Aspergillus_cristatus	A. cristatus	10048	0.6324155979	Raw	FP
Human	Coprolite_14	Aspergillus_cristatus	A. cristatus	2425	0.5834187259	Decontaminated	FP
Human	Coprolite_14	Aspergillus_cristatus	A. cristatus	3100	0.5706726671	Raw	FP
Human	Coprolite_16	Aspergillus_cristatus	A. cristatus	1627	0.5839028354	Decontaminated	FP
Human	Coprolite_16	Aspergillus_cristatus	A. cristatus	2058	0.576081967	Raw	FP
Human	Coprolite_19	Aspergillus_cristatus	A. cristatus	1154	0.6738620649	Raw	FP
Dogs	Zape2	Aspergillus_cristatus	A. cristatus	1957	0.5528859143	Decontaminated	FP
Dogs	Zape2	Aspergillus_cristatus	A. cristatus	2669	0.5441109652	Raw	FP
Human	Zape28	Aspergillus_cristatus	A. cristatus	6220	0.6090637644	Decontaminated	FP
Human	Zape28	Aspergillus_cristatus	A. cristatus	7984	0.5790476687	Raw	FP
Human	Zape5	Aspergillus_cristatus	A. cristatus	1416	0.6850538269	Raw	FP
Iceman	Iceman	Aspergillus_fumigatus	A. fumigatus	48486	0.9633000798	Decontaminated	TP
Iceman	Iceman	Aspergillus_fumigatus	A. fumigatus	48588	0.9626242739	Raw	TP
Human	Zape3	Aspergillus_glaucus	A. glaucus	24113	0.6468542864	Decontaminated	FP
Human	Zape3	Aspergillus_glaucus	A. glaucus	24104	0.6468382439	Raw	FP
Human	Zape2	Aspergillus_glaucus	A. glaucus	6195	0.8299789292	Raw	NA
Human	Zape2	Aspergillus_glaucus	A. glaucus	6204	0.8298984625	Decontaminated	NA
Iceman	Iceman_Large_intestine_lower_part_225	Aspergillus_nidulans	A. nidulans	2308	0.9886896315	Decontaminated	TP
Iceman	Iceman_Large_intestine_lower_part_225	Aspergillus_nidulans	A. nidulans	2315	0.9880515141	Raw	TP
Iceman	Iceman_Stomach_corpus_content_II_1054	Aspergillus_nidulans	A. nidulans	1671	0.9902446108	Decontaminated	TP
Iceman	Iceman_Stomach_corpus_content_II_1054	Aspergillus_nidulans	A. nidulans	1674	0.9897010584	Raw	TP
Iceman	Iceman	Babesia_ovata	B. ovata	3592	0.2775361362	Raw	FP
Iceman	Iceman_Large_intestine_lower_part_225	Babesia_ovata	B. ovata	1011	0.3154474638	Raw	FP
Dogs	Solarolo	Babesia_ovata	B. ovata	3678	0.3533926497	Raw	FP
Human	BRS2	Baylisascaris_ailuri	B. ailuri	1793	0.5316922655	Raw	FP
Human	BRS4	Baylisascaris_ailuri	B. ailuri	6470	0.4463651038	Raw	FP
Dogs	cop_ESL166	Baylisascaris_ailuri	B. ailuri	2560	0.5021159108	Raw	FP
Dogs	cop_JBG10	Baylisascaris_ailuri	B. ailuri	1019	0.5641112761	Raw	FP
Dogs	cop_JBG16	Baylisascaris_ailuri	B. ailuri	2845	0.64428858	Raw	FP
Dogs	cop_JBG29	Baylisascaris_ailuri	B. ailuri	1434	0.5813397736	Raw	FP
Human	Coprolite_14	Baylisascaris_ailuri	B. ailuri	20174	0.5178415988	Raw	FP
Human	Coprolite_16	Baylisascaris_ailuri	B. ailuri	15701	0.5127036436	Raw	FP
Human	Coprolite_19	Baylisascaris_ailuri	B. ailuri	7715	0.5967802394	Raw	FP
Hallstatt	HS2604	Baylisascaris_ailuri	B. ailuri	6403	0.4757076565	Raw	FP
Hallstatt	HS2610	Baylisascaris_ailuri	B. ailuri	8122	0.3988118371	Raw	FP
