Dataset	sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated
Iceman	Iceman_Muscle_tissue_Muscle_1_and_2	A. palestinensis	1594	0.9469363414	Raw	TP
Iceman	Iceman	A. palestinensis	2059	0.8952158811	Raw	TP
Dogs	Solarolo	A. palestinensis	3304	0.8333469662	Raw	TP
Human	Zape3	A. alternata	1975	0.989325759	Decontaminated	TP
Human	Zape3	A. alternata	1976	0.989115086	Raw	TP
Human	BRS4	A. alternata	1081	0.9856709562	Decontaminated	TP
Human	BRS4	A. alternata	1096	0.9816788767	Raw	TP
Human	Zape_29	A. caninum	5200	0.9957721974	Raw	TP
Human	Zape_29	A. caninum	5201	0.9957225616	Decontaminated	TP
Dogs	Zape2	A. caninum	14436	0.9925556148	Raw	TP
Dogs	Zape2	A. caninum	14442	0.9924962455	Decontaminated	TP
Madagascar	SRR7658674	A. ceylanicum	3233	0.9972972219	Decontaminated	TP
Madagascar	SRR7658674	A. ceylanicum	3234	0.9971390332	Raw	TP
Iceman	Iceman	A. simplex	3396	0.1877539859	Raw	FP
Iceman	Iceman_Muscle_tissue_Muscle_1_and_2	A. simplex	2751	0.1732915659	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_II_1036	A. simplex	2811	0.1637607384	Raw	FP
Iceman	Iceman_Large_intestine_lower_part_225	A. simplex	1772	0.1630147471	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_I_1036	A. simplex	2664	0.1610061159	Raw	FP
Iceman	Iceman_Stomach_corpus_content_I_1054	A. simplex	2795	0.1551953087	Raw	FP
Iceman	Iceman_Stomach_corpus_content_II_1054	A. simplex	2804	0.1545424893	Raw	FP
Iceman	Iceman_Stomach_corpus_surface_1054	A. simplex	2498	0.151828637	Raw	FP
Iceman	Iceman_Small_intestine_1063	A. simplex	2457	0.1513132182	Raw	FP
Iceman	Iceman_Stomach_antrum_content_1051	A. simplex	2644	0.151254167	Raw	FP
Iceman	Iceman_Stomach_antrum_surface_1051	A. simplex	2909	0.1503051679	Raw	FP
Madagascar	SRR7658639	A. simplex	1050	0.1093900172	Raw	FP
Human	RGA001	A. lumbricoides	1410	0.9587011363	Decontaminated	TP
Human	RGA001	A. lumbricoides	1410	0.9587011363	Raw	TP
Pigs	2002-17	A. suum	2451	0.997436063	Decontaminated	TP
Pigs	2003-17	A. suum	3628	0.9810315189	Decontaminated	TP
Human	MAM001	A. suum	43688	0.978423188	Raw	TP
Human	MAM001	A. suum	43706	0.9783909546	Decontaminated	TP
Pigs	2014-17	A. suum	1640	0.9752313256	Decontaminated	TP
Hallstatt	HS2612	A. suum	5978	0.952078928	Decontaminated	TP
Hallstatt	HS2612	A. suum	5978	0.952078928	Raw	TP
Pigs	2002-17	A. suum	2449	0.9440991696	Raw	TP
Hallstatt	HS2604	A. suum	34303	0.9335285118	Raw	TP
Hallstatt	HS2604	A. suum	34317	0.9334756825	Decontaminated	TP
Pigs	2003-17	A. suum	3626	0.9189901592	Raw	TP
Pigs	2014-17	A. suum	1638	0.910527771	Raw	TP
Dogs	cop_JBG29	A. campestris	1019	0.9858325212	Raw	TP
Dogs	cop_JBG29	A. campestris	1034	0.9809196305	Decontaminated	TP
Dogs	YRK001	A. campestris	7347	0.9596711471	Raw	TP
Dogs	YRK001	A. campestris	7406	0.9573177356	Decontaminated	TP
Human	BRS4	A. cristatus	7556	0.6943989302	Decontaminated	FP
Human	BRS2	A. cristatus	5361	0.6909672408	Decontaminated	FP
Human	Zape5	A. cristatus	1416	0.6850538269	Raw	FP
Human	Coprolite_19	A. cristatus	1154	0.6738620649	Raw	FP
Human	BRS3	A. cristatus	2586	0.6386976129	Decontaminated	FP
Human	BRS2	A. cristatus	7162	0.6335535737	Raw	FP
Human	BRS4	A. cristatus	10048	0.6324155979	Raw	FP
Human	Zape28	A. cristatus	6220	0.6090637644	Decontaminated	FP
Human	BRS3	A. cristatus	3495	0.6012183712	Raw	FP
Human	Coprolite_16	A. cristatus	1627	0.5839028354	Decontaminated	FP
Human	Coprolite_14	A. cristatus	2425	0.5834187259	Decontaminated	FP
Human	Zape28	A. cristatus	7984	0.5790476687	Raw	FP
Human	Coprolite_16	A. cristatus	2058	0.576081967	Raw	FP
Human	Coprolite_14	A. cristatus	3100	0.5706726671	Raw	FP
Dogs	Zape2	A. cristatus	1957	0.5528859143	Decontaminated	FP
Dogs	Zape2	A. cristatus	2669	0.5441109652	Raw	FP
