kindom	simplified_tax_name	contamination
anml	Acanthisitta chloris	2490
anml	Acipenser ruthenus	12080
anml	Acyrthosiphon pisum	351
anml	Adineta ricciae	5918
anml	Adineta steineri	6489
anml	Adineta vaga	8888
anml	Aedes aegypti	28717
anml	Aedes albopictus	18580
anml	Aethina tumida	601
anml	Agrilus planipennis	77431
anml	Agrypnia vestita	995
anml	Alligator mississippiensis	73484
anml	Allodiplogaster sudhausi	1183
anml	Alosa sapidissima	38360
anml	Amblyraja radiata	19698
anml	Anguilla anguilla	30474
anml	Anolis carolinensis	4505
anml	Anopheles coluzzii	626
anml	Anopheles darlingi	669
anml	Anopheles maculipalpis	3700
anml	Anoplophora glabripennis	633
anml	Antrostomus carolinensis	1008
anml	Apis cerana	875
anml	Aplectana chamaeleonis	1020
anml	Armadillidium nasatum	112050
anml	Ascaris suum	8376
anml	Astyanax mexicanus	128764
anml	Bactrocera dorsalis	3227
anml	Belonocnema kinseyi	3184
anml	Biomphalaria glabrata	125870
anml	Bombyx mori	22676
anml	Brachionus angularis	8725
anml	Brachionus asplanchnoidis	1211
anml	Brachionus calyciflorus	18058
anml	Brachionus koreanus	12197
anml	Brachionus manjavacas	8087
anml	Brachionus paranguensis	2990
anml	Brachionus plicatilis	2352
anml	Brachionus rotundiformis	4553
anml	Brachionus rubens	15049
anml	Brachionus sp.	1000
anml	Bradynema listronoti	13035
anml	Bradysia coprophila	531
anml	Branchiostoma belcheri	603
anml	Branchiostoma floridae	12884
anml	Brienomyrus brachyistius	17478
anml	Brugia malayi	87360
anml	Caenorhabditis angaria	1346
anml	Caenorhabditis elegans	1249
anml	Caenorhabditis inopinata	4167
anml	Caenorhabditis latens	2296
anml	Caenorhabditis sp.	1611
anml	Callithrix jacchus	67263
anml	Callorhinchus milii	54370
anml	Camelus bactrianus	45477
anml	Canis lupus	56372
anml	Carcharodon carcharias	1168295
anml	Carlito syrichta	99774
anml	Cataglyphis hispanica	12625
anml	Centruroides sculpturatus	27807
anml	Cephus cinctus	3572
anml	Ceratina calcarata	1293
anml	Ceratitis capitata	2140
anml	Ceratotherium simum	99514
anml	Chanos chanos	14203
anml	Chiridota heheva	4891
anml	Choloepus didactylus	18318
anml	Chrysoperla carnea	3155
anml	Colias croceus	24539
anml	Colletes gigas	11865
anml	Condylura cristata	8755
anml	Copidosoma floridanum	54906
anml	Cotesia glomerata	1626
anml	Crassostrea gigas	1095
anml	Cristatella mucedo	9609
anml	Crocodylus porosus	15882
anml	Crotalus tigris	15501
anml	Cryptotermes secundus	20642
anml	Ctenocephalides felis	49900
anml	Culex quinquefasciatus	110995
anml	Cyphomyrmex costatus	2638
anml	Daktulosphaira vitifoliae	3070
anml	Danaus plexippus	586
anml	Danio rerio	280035
anml	Daphnia magna	96249
anml	Dasypus novemcinctus	20024
anml	Denticeps clupeoides	1950
anml	Dermatophagoides farinae	3149
anml	Dermatophagoides pteronyssinus	46595
anml	Dermochelys coriacea	29081
anml	Diabrotica virgifera	1211
anml	Diachasma alloeum	2994
anml	Dinoponera quadriceps	16139
anml	Dreissena polymorpha	59199
anml	Dromiciops gliroides	507
anml	Drosophila eugracilis	3287
anml	Drosophila mojavensis	5535
anml	Drosophila virilis	523
anml	Drosophila willistoni	305
anml	Echinops telfairi	52112
anml	Electrophorus electricus	8696
anml	Elephantulus edwardii	11270
anml	Elephas maximus	50442
anml	Equus caballus	75847
anml	Ericerus pela	48308
