assemblyId	taxNameSpecies	editDist	n	p
GCA_000613005.1	Trichuris_trichiura	0	1573	0.5282068502350571
GCA_000613005.1	Trichuris_trichiura	1	854	0.2867696440564137
GCA_000613005.1	Trichuris_trichiura	2	394	0.132303559435863
GCA_000613005.1	Trichuris_trichiura	3	108	0.03626595030221625
GCA_000613005.1	Trichuris_trichiura	4	36	0.01208865010073875
GCA_000613005.1	Trichuris_trichiura	5	8	0.002686366689053056
GCA_000613005.1	Trichuris_trichiura	6	3	0.0010073875083948958
GCA_000613005.1	Trichuris_trichiura	7	2	6.71591672263264e-4
GCA_000612645.2	Trichuris_muris	0	2	0.14285714285714285
GCA_000612645.2	Trichuris_muris	1	6	0.42857142857142855
GCA_000612645.2	Trichuris_muris	2	5	0.35714285714285715
GCA_000612645.2	Trichuris_muris	3	1	0.07142857142857142
GCA_000797535.1	Trichuris_suis	0	41	0.19248826291079812
GCA_000797535.1	Trichuris_suis	1	78	0.36619718309859156
GCA_000797535.1	Trichuris_suis	2	77	0.3615023474178404
GCA_000797535.1	Trichuris_suis	3	14	0.06572769953051644
GCA_000797535.1	Trichuris_suis	4	2	0.009389671361502348
GCA_000797535.1	Trichuris_suis	7	1	0.004694835680751174
