Species	NCBI/VEuPathDB Accession ID	Taxonomic group	Length of contamination (bp)	Contaminant species
Albugo candida 2VRR	FungiDB-61-Acandida2VRR	Viridiplantae	6557	Brassica napus
Albugo candida 2VRR	FungiDB-61-Acandida2VRR	Viridiplantae	8504	Raphanus sativus
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	288	Allantophomopsis cytisporea
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	822	Apiospora pterosperma
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	11404	Arachnopeziza araneosa
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	600	Atkinsonella hypoxylon
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2680	Balansia obtecta
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	9587	Blumeria graminis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	9174	Blumeria hordei
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	690	Candelaria pacifica
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2798	Chalara longipes
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	976	Chalara sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	735	Chlorencoelia torta
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1833	Circinella minor
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	6664	Cladosporium colombiae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	321	Dendrostoma leiphaemia
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	5002	Diaporthe ilicicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1292	Dissoconium aciculare
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	375	Elsinoe fawcettii
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	3892	Epichloe bromicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	25323	Erysiphe necator
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	379	Friedmanniomyces endolithicus
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	529	Friedmanniomyces simplex
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2033	Halenospora varia
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1490	Helotiales sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	941	Hymenoscyphus fructigenus
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	224	Hymenoscyphus scutula
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	936	Hyphodiscus sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	6736	Jackrogersella multiformis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	419	Juglanconis oblonga
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2183	Lecanosticta acicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1052	Leptodontidium sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	286	Melanodothis sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	343	Myriosclerotinia curreyana
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1505	Myrmaecium sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	379	Neobulgaria alba
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	398	Neoscytalidium dimidiatum
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	21980	Oidium heveae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1023	Ophiocordyceps bispora
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	70522	Podosphaera xanthii
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	474	Proliferodiscus dingleyae
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	485	Pseudocercospora crystallina
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	403	Pseudotulostoma volvatum
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	606	Rhexocercosporidium sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	4163	Rhynchosporium commune
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1416	Rutstroemia sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	376	Sclerotinia sclerotiorum
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2063	Scytalidium lignicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	7373	Venturia effusa
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1377	Venturia inaequalis
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	2212	Venturia nashicola
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	4682	Xylaria hypoxylon
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	632	Xylaria sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	1369	fungal sp.
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Fungi	559	NA
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	3980	Arabidopsis thaliana
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	852	Brassica napus
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	260	Cannabis sativa
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	338	Chenopodium quinoa
Albugo laibachii Nc14	FungiDB-61-AlaibachiiNc14	Viridiplantae	677	Eutrema salsugineum
