assemblyId	taxNameSpecies	editDist	n	p
GCA_013433145.1	Ascaris_suum	0	18439	0.5373138677623336
GCA_013433145.1	Ascaris_suum	1	10334	0.3011335489698983
GCA_013433145.1	Ascaris_suum	2	3839	0.11186875309613312
GCA_013433145.1	Ascaris_suum	3	967	0.02817845382754903
GCA_013433145.1	Ascaris_suum	4	288	0.008392341987936008
GCA_013433145.1	Ascaris_suum	5	89	0.0025934667948830027
GCA_013433145.1	Ascaris_suum	6	53	0.0015444240463910015
GCA_013433145.1	Ascaris_suum	7	44	0.0012821633592680012
GCA_013433145.1	Ascaris_suum	8	28	8.159221377160008e-4
GCA_013433145.1	Ascaris_suum	9	62	0.0018066847335140017
GCA_013433145.1	Ascaris_suum	10	64	0.001864964886208002
GCA_013433145.1	Ascaris_suum	11	50	0.0014570038173500014
GCA_013433145.1	Ascaris_suum	12	27	7.867820613690008e-4
GCA_013433145.1	Ascaris_suum	13	13	3.788209925110004e-4
GCA_013433145.1	Ascaris_suum	14	7	2.039805344290002e-4
GCA_013433145.1	Ascaris_suum	15	5	1.4570038173500015e-4
GCA_013433145.1	Ascaris_suum	16	3	8.742022904100009e-5
GCA_013433145.1	Ascaris_suum	17	1	2.914007634700003e-5
GCA_013433145.1	Ascaris_suum	18	3	8.742022904100009e-5
GCA_013433145.1	Ascaris_suum	20	1	2.914007634700003e-5
GCA_015227635.1	Ascaris_lumbricoides	0	18416	0.5609674373267538
GCA_015227635.1	Ascaris_lumbricoides	1	9543	0.29068811112126475
GCA_015227635.1	Ascaris_lumbricoides	2	3435	0.10463309878461116
GCA_015227635.1	Ascaris_lumbricoides	3	858	0.026135429041396326
GCA_015227635.1	Ascaris_lumbricoides	4	211	0.0064272442048189105
GCA_015227635.1	Ascaris_lumbricoides	5	81	0.002467330713698255
GCA_015227635.1	Ascaris_lumbricoides	6	41	0.0012488957933534375
GCA_015227635.1	Ascaris_lumbricoides	7	37	0.0011270523013189558
GCA_015227635.1	Ascaris_lumbricoides	8	19	5.787565871637881e-4
GCA_015227635.1	Ascaris_lumbricoides	9	51	0.0015535045234396417
GCA_015227635.1	Ascaris_lumbricoides	10	61	0.0018581132535258461
GCA_015227635.1	Ascaris_lumbricoides	11	39	0.0011879740473361967
GCA_015227635.1	Ascaris_lumbricoides	12	19	5.787565871637881e-4
GCA_015227635.1	Ascaris_lumbricoides	13	6	1.8276523805172256e-4
GCA_015227635.1	Ascaris_lumbricoides	14	7	2.1322611106034298e-4
GCA_015227635.1	Ascaris_lumbricoides	15	1	3.0460873008620428e-5
GCA_015227635.1	Ascaris_lumbricoides	16	2	6.0921746017240857e-5
GCA_015227635.1	Ascaris_lumbricoides	17	1	3.0460873008620428e-5
GCA_015227635.1	Ascaris_lumbricoides	25	1	3.0460873008620428e-5
