assemblyId	taxNameSpecies	editDist	n	p
GCA_013433145.1	Ascaris_suum	0	18428	0.5372124887036119
GCA_013433145.1	Ascaris_suum	1	10333	0.3012272979039734
GCA_013433145.1	Ascaris_suum	2	3838	0.11188525784916771
GCA_013433145.1	Ascaris_suum	3	966	0.02816080226219281
GCA_013433145.1	Ascaris_suum	4	288	0.008395767134069906
GCA_013433145.1	Ascaris_suum	5	89	0.002594525260181325
GCA_013433145.1	Ascaris_suum	6	53	0.0015450543684225868
GCA_013433145.1	Ascaris_suum	7	44	0.0012826866454829023
GCA_013433145.1	Ascaris_suum	8	28	8.162551380345742e-4
GCA_013433145.1	Ascaris_suum	9	62	0.0018074220913622714
GCA_013433145.1	Ascaris_suum	10	64	0.0018657260297933126
GCA_013433145.1	Ascaris_suum	11	50	0.0014575984607760255
GCA_013433145.1	Ascaris_suum	12	27	7.871031688190537e-4
GCA_013433145.1	Ascaris_suum	13	13	3.789755998017666e-4
GCA_013433145.1	Ascaris_suum	14	7	2.0406378450864355e-4
GCA_013433145.1	Ascaris_suum	15	5	1.4575984607760254e-4
GCA_013433145.1	Ascaris_suum	16	3	8.745590764656153e-5
GCA_013433145.1	Ascaris_suum	17	1	2.915196921552051e-5
GCA_013433145.1	Ascaris_suum	18	3	8.745590764656153e-5
GCA_013433145.1	Ascaris_suum	20	1	2.915196921552051e-5
GCA_015227635.1	Ascaris_lumbricoides	0	18412	0.5609481156506109
GCA_015227635.1	Ascaris_lumbricoides	1	9544	0.290771714955976
GCA_015227635.1	Ascaris_lumbricoides	2	3433	0.10459129269110075
GCA_015227635.1	Ascaris_lumbricoides	3	857	0.026109740121256435
GCA_015227635.1	Ascaris_lumbricoides	4	211	0.0064284190963653535
GCA_015227635.1	Ascaris_lumbricoides	5	81	0.0024677817384151355
GCA_015227635.1	Ascaris_lumbricoides	6	41	0.0012491240898150687
GCA_015227635.1	Ascaris_lumbricoides	7	37	0.001127258324955062
GCA_015227635.1	Ascaris_lumbricoides	8	19	5.788623830850319e-4
GCA_015227635.1	Ascaris_lumbricoides	9	51	0.0015537885019650856
GCA_015227635.1	Ascaris_lumbricoides	10	61	0.0018584529141151022
GCA_015227635.1	Ascaris_lumbricoides	11	39	0.0011881912073850654
GCA_015227635.1	Ascaris_lumbricoides	12	19	5.788623830850319e-4
GCA_015227635.1	Ascaris_lumbricoides	13	6	1.8279864729001005e-4
GCA_015227635.1	Ascaris_lumbricoides	14	7	2.1326508850501172e-4
GCA_015227635.1	Ascaris_lumbricoides	15	1	3.0466441215001674e-5
GCA_015227635.1	Ascaris_lumbricoides	16	2	6.093288243000335e-5
GCA_015227635.1	Ascaris_lumbricoides	17	1	3.0466441215001674e-5
GCA_015227635.1	Ascaris_lumbricoides	25	1	3.0466441215001674e-5
