assemblyId	taxNameSpecies	editDist	n	p
GCA_000613005.1	Trichuris_trichiura	0	248	0.3609898107714702
GCA_000613005.1	Trichuris_trichiura	1	179	0.26055312954876275
GCA_000613005.1	Trichuris_trichiura	2	95	0.13828238719068414
GCA_000613005.1	Trichuris_trichiura	3	64	0.09315866084425037
GCA_000613005.1	Trichuris_trichiura	4	36	0.05240174672489083
GCA_000613005.1	Trichuris_trichiura	5	26	0.03784570596797671
GCA_000613005.1	Trichuris_trichiura	6	12	0.017467248908296942
GCA_000613005.1	Trichuris_trichiura	7	12	0.017467248908296942
GCA_000613005.1	Trichuris_trichiura	8	6	0.008733624454148471
GCA_000613005.1	Trichuris_trichiura	9	2	0.002911208151382824
GCA_000613005.1	Trichuris_trichiura	11	3	0.004366812227074236
GCA_000613005.1	Trichuris_trichiura	13	3	0.004366812227074236
GCA_000613005.1	Trichuris_trichiura	14	1	0.001455604075691412
GCA_000612645.2	Trichuris_muris	2	1	1
GCA_000797535.1	Trichuris_suis	0	1	0.09090909090909091
GCA_000797535.1	Trichuris_suis	1	3	0.2727272727272727
GCA_000797535.1	Trichuris_suis	2	3	0.2727272727272727
GCA_000797535.1	Trichuris_suis	3	3	0.2727272727272727
GCA_000797535.1	Trichuris_suis	4	1	0.09090909090909091
