assemblyId	taxNameSpecies	editDist	n	p
GCA_000613005.1	Trichuris_trichiura	0	7670	0.3079331941544885
GCA_000613005.1	Trichuris_trichiura	1	4454	0.1788180504255661
GCA_000613005.1	Trichuris_trichiura	2	3283	0.13180504255660833
GCA_000613005.1	Trichuris_trichiura	3	2687	0.107876987313313
GCA_000613005.1	Trichuris_trichiura	4	1803	0.07238638188533804
GCA_000613005.1	Trichuris_trichiura	5	1257	0.05046571382688293
GCA_000613005.1	Trichuris_trichiura	6	914	0.036695037738879076
GCA_000613005.1	Trichuris_trichiura	7	865	0.03472779829773567
GCA_000613005.1	Trichuris_trichiura	8	642	0.025774851453348322
GCA_000613005.1	Trichuris_trichiura	9	416	0.016701461377870562
GCA_000613005.1	Trichuris_trichiura	10	289	0.011602697928376425
GCA_000613005.1	Trichuris_trichiura	11	185	0.007427332583908784
GCA_000613005.1	Trichuris_trichiura	12	119	0.004777581499919704
GCA_000613005.1	Trichuris_trichiura	13	92	0.0036935924201059902
GCA_000613005.1	Trichuris_trichiura	14	56	0.0022482736470210373
GCA_000613005.1	Trichuris_trichiura	15	41	0.001646057491568974
GCA_000613005.1	Trichuris_trichiura	16	25	0.001003693592420106
GCA_000613005.1	Trichuris_trichiura	17	8	3.211819495744339e-4
GCA_000613005.1	Trichuris_trichiura	18	12	4.8177292436165086e-4
GCA_000613005.1	Trichuris_trichiura	19	12	4.8177292436165086e-4
GCA_000613005.1	Trichuris_trichiura	20	10	4.014774369680424e-4
GCA_000613005.1	Trichuris_trichiura	21	12	4.8177292436165086e-4
GCA_000613005.1	Trichuris_trichiura	22	6	2.4088646218082543e-4
GCA_000613005.1	Trichuris_trichiura	23	6	2.4088646218082543e-4
GCA_000613005.1	Trichuris_trichiura	24	8	3.211819495744339e-4
GCA_000613005.1	Trichuris_trichiura	25	4	1.6059097478721696e-4
GCA_000613005.1	Trichuris_trichiura	26	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	27	3	1.2044323109041271e-4
GCA_000613005.1	Trichuris_trichiura	28	3	1.2044323109041271e-4
GCA_000613005.1	Trichuris_trichiura	29	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	30	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	31	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	32	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	33	4	1.6059097478721696e-4
GCA_000613005.1	Trichuris_trichiura	34	1	4.014774369680424e-5
GCA_000613005.1	Trichuris_trichiura	35	1	4.014774369680424e-5
GCA_000613005.1	Trichuris_trichiura	36	1	4.014774369680424e-5
GCA_000613005.1	Trichuris_trichiura	37	2	8.029548739360848e-5
GCA_000613005.1	Trichuris_trichiura	38	1	4.014774369680424e-5
GCA_000613005.1	Trichuris_trichiura	41	4	1.6059097478721696e-4
GCA_000613005.1	Trichuris_trichiura	44	1	4.014774369680424e-5
GCA_000613005.1	Trichuris_trichiura	48	1	4.014774369680424e-5
GCA_000612645.2	Trichuris_muris	2	1	1
GCA_000797535.1	Trichuris_suis	0	2	0.13333333333333333
GCA_000797535.1	Trichuris_suis	1	4	0.26666666666666666
GCA_000797535.1	Trichuris_suis	2	4	0.26666666666666666
GCA_000797535.1	Trichuris_suis	3	4	0.26666666666666666
GCA_000797535.1	Trichuris_suis	4	1	0.06666666666666667
