uniqCon	Accession	fcs	fcs+cont	conter	uniFCS	Overlap
616	FungiDB-61-Acandida2VRR	15061	15677	2,626	13,051	2,010
15062	FungiDB-61-AlaibachiiNc14	323,413	338,475	115,815	222,660	100,753
22678	FungiDB-61-NdiscretaFGSC8579	0	22678	22,678	0	0
13367	FungiDB-61-PcinnamomiCBS144-22	0	13367	13,367	0	0
51626	GCA_000001985.1	56,668	108,294	53,239	55,055	1,613
10696	GCA_000002445.1	0	10696	10,696	0	0
1367	GCA_000002495.2	0	1367	1,367	0	0
15118	GCA_000002515.1	0	15118	15,118	0	0
360	GCA_000002525.1	0	360	360	0	0
6263	GCA_000002545.2	0	6263	6,263	0	0
11247	GCA_000002655.1	0	11247	11,247	0	0
96101	GCA_000002715.1	15,717	111,818	97,277	14,541	1,176
1082	GCA_000002725.2	0	1082	1,082	0	0
4354	GCA_000002765.3	0	4354	4,354	0	0
1284	GCA_000002845.2	2,421	3,705	1,284	2,421	0
25096	GCA_000002855.2	516	25612	25,612	0	516
12677	GCA_000002945.2	0	12677	12,677	0	0
43911	GCA_000003125.1	1188	45099	45,099	0	1,188
5026	GCA_000003225.1	0	5026	5,026	0	0
43948	GCA_000003515.2	0	43948	43,948	0	0
29344	GCA_000003525.2	0	29344	29,344	0	0
14716	GCA_000003835.1	0	14716	14,716	0	0
19452	GCA_000003855.2	0	19452	19,452	0	0
1383	GCA_000004985.1	2129	3512	3,512	0	2,129
16651	GCA_000006275.3	11635	28286	19,012	9,274	2,361
26890	GCA_000006335.3	0	26890	26,890	0	0
2473	GCA_000006355.3	16,886	19,359	12,078	7,281	9,605
7334	GCA_000006425.2	0	7334	7,334	0	0
9867	GCA_000006445.2	0	9867	9,867	0	0
9429	GCA_000026945.1	0	9429	9,429	0	0
8079	GCA_000091045.1	0	8079	8,079	0	0
896	GCA_000091225.2	0	896	896	0	0
20048707	GCA_000142945.1	510,519	20,559,226	20,082,060	477,166	33,353
15658	GCA_000143045.1	0	15658	15,658	0	0
34244	GCA_000143365.1	0	34244	34,244	0	0
103083	GCA_000143535.4	0	103083	103,083	0	0
