Genome	Contamination	Raw	ContNR	GenomeNR	Year	Month	Day	Label2017	Label2016	Label2015	Label2014
GCA_000002515.1	0	10689112	0	1	2004	7	2	2017_1	2016_1	2015_1	2014_1
GCA_000002525.1	0	20501810	0	1	2004	7	2	2017_1	2016_1	2015_1	2014_1
GCA_000167175.1	133674	29842250	1	1	2004	4	29	2017_1	2016_1	2015_1	2014_1
GCA_000002445.1	0	26071887	0	1	2005	12	14	2017_1	2016_1	2015_1	2014_1
GCA_000002655.1	0	28809958	0	1	2005	6	10	2017_1	2016_1	2015_1	2014_1
GCA_000003225.1	0	8357924	0	1	2005	7	29	2017_1	2016_1	2015_1	2014_1
GCA_000091045.1	0	19050125	0	1	2005	1	7	2017_1	2016_1	2015_1	2014_1
GCA_000165365.1	0	8347606	0	1	2005	6	30	2017_1	2016_1	2015_1	2014_1
GCA_000209065.1	240605	89612356	1	1	2005	8	2	2017_1	2016_1	2015_1	2014_1
GCA_000002715.1	15717	27850641	1	1	2006	12	14	2017_1	2016_1	2015_1	2014_1
GCA_000143365.1	0	34336862	0	1	2006	2	17	2017_1	2016_1	2015_1	2014_1
GCA_000149615.1	0	29230766	0	1	2006	9	8	2017_1	2016_1	2015_1	2014_1
GCA_000149645.4	0	31368615	0	1	2006	12	14	2017_1	2016_1	2015_1	2014_1
GCA_000149865.1	0	23577733	0	1	2006	10	25	2017_1	2016_1	2015_1	2014_1
GCA_000002855.2	516	33930422	1	1	2007	4	11	2017_1	2016_1	2015_1	2014_1
GCA_000002945.2	0	12590849	0	1	2007	11	9	2017_1	2016_1	2015_1	2014_1
GCA_000149425.1	0	10574537	0	1	2007	5	8	2017_1	2016_1	2015_1	2014_1
GCA_000149685.1	0	15460620	0	1	2007	5	7	2017_1	2016_1	2015_1	2014_1
GCA_000165345.1	0	9087655	0	1	2007	2	26	2017_1	2016_1	2015_1	2014_1
GCA_000170615.1	65021	41285888	1	1	2007	12	14	2017_1	2016_1	2015_1	2014_1
GCA_000181075.1	1499757	611995108	1	1	2007	1	26	2017_1	2016_1	2015_1	2014_1
GCA_000181695.1	3120	8958094	1	1	2007	11	2	2017_1	2016_1	2015_1	2014_1
GCF_000149515.1	2501653	138406203	1	1	2007	7	19	2017_1	2016_1	2015_1	2014_1
GCA_000001985.1	56668	28467480	1	1	2008	10	29	2017_1	2016_1	2015_1	2014_1
GCA_000002545.2	0	12317945	0	1	2008	8	12	2017_1	2016_1	2015_1	2014_1
GCA_000003125.1	1188	35558430	1	1	2008	12	22	2017_1	2016_1	2015_1	2014_1
GCA_000006445.2	0	12151761	0	1	2008	9	16	2017_1	2016_1	2015_1	2014_1
GCA_000149735.1	46075	54424536	1	1	2008	3	3	2017_1	2016_1	2015_1	2014_1
GCA_000149925.1	542	81600488	1	1	2008	8	26	2017_1	2016_1	2015_1	2014_1
GCA_000150805.1	34323	80778247	1	1	2008	4	1	2017_1	2016_1	2015_1	2014_1
GCA_000151145.1	0	23137485	0	1	2008	10	22	2017_1	2016_1	2015_1	2014_1
GCA_000172435.1	175482	53012960	1	1	2008	9	29	2017_1	2016_1	2015_1	2014_1
GCA_000180415.1	7263	82095019	1	1	2008	9	10	2017_1	2016_1	2015_1	2014_1
GCA_000208925.2	42905	20771095	1	1	2008	3	12	2017_1	2016_1	2015_1	2014_1
GCA_000209125.2	34500	30503664	1	1	2008	1	16	2017_1	2016_1	2015_1	2014_1
GCA_000226395.1	1588	32203817	1	1	2008	11	4	2017_1	2016_1	2015_1	2014_1
GCA_000226545.1	0	34250760	0	1	2008	5	14	2017_1	2016_1	2015_1	2014_1
GCF_000006515.1	10678	9238736	1	1	2008	7	23	2017_1	2016_1	2015_1	2014_1
GCA_000003515.2	0	22168071	0	1	2009	5	21	2017_1	2016_1	2015_1	2014_1
GCA_000003525.2	0	66270669	0	1	2009	2	24	2017_1	2016_1	2015_1	2014_1
GCA_000003835.1	0	12079919	0	1	2009	6	2	2017_1	2016_1	2015_1	2014_1
GCA_000003855.2	0	74393771	0	1	2009	2	24	2017_1	2016_1	2015_1	2014_1
GCA_000006335.3	0	14575599	0	1	2009	6	18	2017_1	2016_1	2015_1	2014_1
GCA_000026945.1	0	14618422	0	1	2009	2	16	2017_1	2016_1	2015_1	2014_1
GCA_000142945.1	510519	190133476	1	1	2009	6	17	2017_1	2016_1	2015_1	2014_1
GCA_000149305.1	0	45324238	0	1	2009	5	27	2017_1	2016_1	2015_1	2014_1
GCA_000149335.2	0	29015619	0	1	2009	10	29	2017_1	2016_1	2015_1	2014_1
GCA_000151355.1	0	51230360	0	1	2009	8	27	2017_1	2016_1	2015_1	2014_1
GCA_000151425.1	0	22127963	0	1	2009	11	30	2017_1	2016_1	2015_1	2014_1
GCA_000151455.1	0	22505389	0	1	2009	8	11	2017_1	2016_1	2015_1	2014_1
GCA_000151775.1	765634	369022049	1	1	2009	4	21	2017_1	2016_1	2015_1	2014_1
GCA_000182985.1	616	7860219	1	1	2009	6	9	2017_1	2016_1	2015_1	2014_1
GCA_000209485.1	237114	3859221	1	1	2009	1	13	2017_1	2016_1	2015_1	2014_1
GCA_000004985.1	2129	36295096	1	1	2010	1	20	2017_1	2016_1	2015_1	2014_1
GCA_000143045.1	0	42791458	0	1	2010	6	25	2017_1	2016_1	2015_1	2014_1
GCA_000143925.2	501376	170093638	1	1	2010	11	15	2017_1	2016_1	2015_1	2014_1
GCA_000145635.1	0	40978414	0	1	2010	8	25	2017_1	2016_1	2015_1	2014_1
GCA_000146465.1	0	2216798	0	1	2010	8	16	2017_1	2016_1	2015_1	2014_1
GCA_000147155.1	282596	154057934	1	1	2010	9	24	2017_1	2016_1	2015_1	2014_1
GCA_000149035.1	0	50906596	0	1	2010	10	12	2017_1	2016_1	2015_1	2014_1
GCA_000151295.1	1350	52624944	1	1	2010	2	18	2017_1	2016_1	2015_1	2014_1
GCA_000165025.1	2623097	75258781	1	1	2010	10	26	2017_1	2016_1	2015_1	2014_1
GCA_000180695.1	3642442	25992171	1	1	2010	2	2	2017_1	2016_1	2015_1	2014_1
GCA_000180755.1	25745	81507962	1	1	2010	2	3	2017_1	2016_1	2015_1	2014_1
GCA_000182895.1	0	36192556	0	1	2010	6	16	2017_1	2016_1	2015_1	2014_1
GCA_000184105.1	107322	28356058	1	1	2010	12	30	2017_1	2016_1	2015_1	2014_1
GCF_000151665.1	0	18743698	0	1	2010	7	6	2017_1	2016_1	2015_1	2014_1
GCA_000002495.2	0	40949321	0	1	2011	10	14	2017_1	2016_1	2015_1	2014_1
GCA_000002725.2	0	32855082	0	1	2011	2	14	2017_1	2016_1	2015_1	2014_1
GCA_000002845.2	2421	31986892	1	1	2011	11	7	2017_1	2016_1	2015_1	2014_1
GCA_000149555.1	0	41794269	0	1	2011	7	6	2017_1	2016_1	2015_1	2014_1
GCA_000149755.2	0	79327257	0	1	2011	10	3	2017_1	2016_1	2015_1	2014_1
