Scientific Name	Taxonomic Group	NCBI Tax ID	NCBI Accession ID
Acanthamoeba astronyxis	Other eukaryotes	65658	GCA_000826245.1
Acanthamoeba castellanii str. Neff	Other eukaryotes	1257118	GCA_000313135.1
Acanthamoeba culbertsoni	Other eukaryotes	43142	GCA_000826265.1
Acanthamoeba healyi	Other eukaryotes	65661	GCA_000826305.1
Acanthamoeba lenticulata	Other eukaryotes	29196	GCA_000826285.1
Acanthamoeba lugdunensis	Other eukaryotes	61605	GCA_000826425.1
Acanthamoeba mauritaniensis	Other eukaryotes	196912	GCA_000826465.1
Acanthamoeba palestinensis	Other eukaryotes	28015	GCA_000826325.1
Acanthamoeba pearcei	Other eukaryotes	65662	GCA_000826505.1
Acanthamoeba quina	Other eukaryotes	211522	GCA_000826445.1
Acanthamoeba rhysodes	Other eukaryotes	32599	GCA_000826385.1
Acanthocheilonema viteae	Nematoda	6277	GCA_900537255.1
Acrobeloides nanus	Nematoda	290746	GCA_900406225.1
Albugo candida 2VRR	Other eukaryotes	911350	FungiDB-61-Acandida2VRR
Albugo laibachii Nc14	Other eukaryotes	890382	FungiDB-61-AlaibachiiNc14
Allodiplogaster sudhausi	Nematoda	2761625	GCA_014805415.1
Allodiplogaster sudhausi	Nematoda	2761625	GCA_945643635.1
Allomyces macrogynus ATCC 38327	Fungi	578462	GCA_000151295.1
Alternaria alternata	Fungi	5599	GCA_001642055.1
Amauroascus niger	Fungi	89421	GCA_001430945.1
Amauroascus verrucosus	Fungi	2074759	GCA_001430935.1
Amphiamblys sp. WSBS2006	Fungi	1866961	GCA_001875675.1
Ancylostoma caninum	Nematoda	29170	GCA_003336725.1
Ancylostoma ceylanicum	Nematoda	53326	GCA_000402015.1
Ancylostoma ceylanicum	Nematoda	53326	GCA_000688135.1
Ancylostoma duodenale	Nematoda	51022	GCA_000816745.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_000331205.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_001884285.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_009735665.1
Angiostrongylus costaricensis	Nematoda	334426	GCA_900624975.1
Angiostrongylus vasorum	Nematoda	321387	GCA_018806985.1
Angomonas deanei	Other eukaryotes	59799	GCA_903995115.1
Anguina tritici	Nematoda	166006	GCA_029339935.1
Anisakis simplex	Nematoda	6269	GCA_900576815.1
Anisakis simplex	Nematoda	6269	GCA_900617985.1
Anncaliia algerae PRA109	Fungi	1240240	GCA_000385855.2
Antonospora locustae	Fungi	278021	GCA_007674295.1
Aphanomyces astaci	Other eukaryotes	112090	GCA_000520075.1
Aphanomyces invadans	Other eukaryotes	157072	GCA_000520115.1
